name,place_id,address,description,type,rating,price_level,latitude,longitude,city,state,country
Waikiki Aquarium,ChIJd_4jim9yAHwRhxHp08RfZ10,"2777 Kalākaua Ave, Honolulu, HI 96815, USA","{'language': 'en', 'overview': 'Small aquarium featuring 3,000+ Hawaiian & tropical Pacific marine animals, plus multiple exhibits.'}",tourist_attraction,3.9,,21.2657981,-157.8216482,Honolulu,Hawaii,United States
Sea Life Park Hawaii,ChIJ4XS4tXwRAHwRAdy1mvCU710,"41-202 Kalanianaʻole Hwy, Waimanalo, HI 96795, USA","{'language': 'en', 'overview': 'Kid-friendly park dedicated to sea life offers penguins, sea lion shows & swimming with dolphins.'}",tourist_attraction,4.1,,21.31374,-157.663567,Waimanalo,Hawaii,United States
Kualoa Ranch,ChIJa22w1QFEAHwReP7oYVzQSv0,"Kaneohe, HI 96744, USA","{'language': 'en', 'overview': '4,000-acre nature retreat offering ATVs, a zip-line, beaches & tours of Hollywood film locations.'}",tourist_attraction,4.7,,21.5186627,-157.8533464,Kaneohe,Hawaii,United States
Bishop Museum,ChIJHagMfYhuAHwRycuWMqDnRrE,"1525 Bernice St, Honolulu, HI 96817, USA","{'language': 'en', 'overview': 'A planetarium, & a museum showcasing exhibits on Hawaiian & other Pacific Island cultures.'}",tourist_attraction,4.6,,21.3329195,-157.8706127,Honolulu,Hawaii,United States
Battleship Missouri Memorial,ChIJgS0W7YplAHwRgpewKEElecc,"63 Cowpens St, Honolulu, HI 96818, USA","{'language': 'en', 'overview': 'Storied battleship, site of the official Japanese surrender in WWII, hosting exhibits, tours & more.'}",tourist_attraction,4.8,,21.3621169,-157.9534244,Honolulu,Hawaii,United States
Paradise Cove Luau,ChIJBQMDNZZiAHwRU0TnV4RpMuU,"92-1089 Aliinui Dr, Kapolei, HI 96707, USA","{'language': 'en', 'overview': 'Seaside luau at Ko Olina Resort with Hawaiian fare & drinks, plus a show with hula & fire dancers.'}",tourist_attraction,4.5,4,21.3436568,-158.1275433,Kapolei,Hawaii,United States
Ulupō Heiau State Historic Site,ChIJYSeCy8gUAHwRKcN51J9xDE8,"Kailua, HI 96734, USA",,tourist_attraction,4.6,,21.3855711,-157.7529052,Kailua,Hawaii,United States
ʻAikahi Community Park,ChIJF-b2nCQVAHwRMkpFbejlGGM,"93 Kaneohe Bay Dr, Kailua, HI 96734, USA",,tourist_attraction,4.1,,21.426172,-157.7510501,Kailua,Hawaii,United States
Nuʻuanu Pali State Wayside,ChIJKwkeR2JrAHwRl5yyOrTacNE,"Honolulu, HI 96744, USA","{'language': 'en', 'overview': 'Exceedingly windy 1,186-ft.-high lookout offering a panoramic view of windward Oahu.'}",tourist_attraction,4.7,,21.3667755,-157.7931498,Honolulu,Hawaii,United States
Hoʻomaluhia Botanical Garden,ChIJbUDuMQtrAHwRKO8OUbujx38,"45-680 Luluku Rd, Kaneohe, HI 96744, USA","{'language': 'en', 'overview': '400 acres of tropical plants along with a man-made freshwater lake, hiking trails & camping.'}",tourist_attraction,4.7,,21.3866022,-157.804555,Kaneohe,Hawaii,United States
